country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","24-06-2025 00:00:00",20.719516,77.000253,PM2.5,15,40,26
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","24-06-2025 00:00:00",20.719516,77.000253,NO2,15,23,20
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","24-06-2025 00:00:00",20.9402359,77.7895248,NO2,3,16,7
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","24-06-2025 00:00:00",19.0243902,73.0406721,PM2.5,18,51,31
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","24-06-2025 00:00:00",19.0243902,73.0406721,SO2,3,7,5
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","24-06-2025 00:00:00",19.309073,73.057223,PM10,43,69,60
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","24-06-2025 00:00:00",19.309073,73.057223,NH3,1,5,3
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","24-06-2025 00:00:00",23.108440,77.511428,NO2,NA,NA,NA
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","24-06-2025 00:00:00",23.108440,77.511428,CO,4,27,12
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","24-06-2025 00:00:00",23.838586,78.759431,PM2.5,12,39,23
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","24-06-2025 00:00:00",19.9775302,79.2337086,PM10,15,85,45
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","24-06-2025 00:00:00",18.96702,72.84214,PM10,22,53,39
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","24-06-2025 00:00:00",18.96702,72.84214,CO,28,58,50
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","24-06-2025 00:00:00",19.1878657,72.8304069,OZONE,12,22,17
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","24-06-2025 00:00:00",19.1750,72.9419,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","24-06-2025 00:00:00",19.1750,72.9419,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","24-06-2025 00:00:00",19.1750,72.9419,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","24-06-2025 00:00:00",18.897756,72.813320,NH3,5,6,5
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","24-06-2025 00:00:00",19.047000,72.874600,NO2,18,18,18
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","24-06-2025 00:00:00",19.047000,72.874600,NH3,2,3,3
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","24-06-2025 00:00:00",19.383200,72.820400,PM2.5,15,42,26
